iter	RMSE
0	0.3769011759
1	0.3546466732
2	0.3380325805
3	0.3248018907
4	0.3099968603
5	0.2969603337
6	0.2832501592
7	0.2717142733
8	0.260624242
9	0.2517456521
10	0.2426544979
11	0.2340804922
12	0.2257563292
13	0.218494314
14	0.2122072039
15	0.2066837482
16	0.2018611997
17	0.1962761687
18	0.191294967
19	0.1872135901
20	0.1842500722
21	0.1806918085
22	0.1776391466
23	0.1749198161
24	0.1721850992
25	0.169765283
26	0.1672553622
27	0.1651995542
28	0.1627508
29	0.16086417
30	0.159213228
31	0.1575040309
32	0.1554130415
33	0.1537043086
34	0.1522822078
35	0.1513175349
36	0.1498876758
37	0.1480566977
38	0.1470220009
39	0.1459134635
40	0.1443591112
41	0.1431316692
42	0.1422506929
43	0.1415721138
44	0.1408370663
45	0.1397839678
46	0.1387157035
47	0.137834254
48	0.1371376077
49	0.1363464526
50	0.1356065428
51	0.134767157
52	0.1340955302
53	0.133368693
54	0.1329772605
55	0.1326229456
56	0.1321014902
57	0.1312797104
58	0.1307693334
59	0.1300092851
60	0.1296822675
61	0.1291047799
62	0.1286026393
63	0.1281962593
64	0.1278689115
65	0.12718243
66	0.1267050189
67	0.126443722
68	0.1260780728
69	0.1256196456
70	0.1246843356
71	0.12438302
72	0.1238988487
73	0.1234914043
74	0.1227440589
75	0.1223599685
76	0.1221818656
77	0.1218576976
78	0.1213511709
79	0.1208940934
80	0.1205813473
81	0.1204474812
82	0.1198404278
83	0.1194723577
84	0.1192433394
85	0.1191428309
86	0.1189893603
87	0.1188989815
88	0.118335909
89	0.1178676651
90	0.1173969558
91	0.1172604456
92	0.1170583733
93	0.1169943007
94	0.1166474319
95	0.1164007648
96	0.1160417942
97	0.1156168897
98	0.1155664315
99	0.1151903793
100	0.114795419
101	0.1142425793
102	0.113922165
103	0.1137628368
104	0.113462275
105	0.1131851111
106	0.1130371838
107	0.1127470973
108	0.1123494586
109	0.1120390052
110	0.1118418168
111	0.1115273901
112	0.1112558769
113	0.1110442391
114	0.1110044918
115	0.1107797519
116	0.1107413664
117	0.1106918191
118	0.1104305437
119	0.1103794736
120	0.1103461534
121	0.1101668221
122	0.1100547219
123	0.1100205958
124	0.1097765969
125	0.1095310035
126	0.109313333
127	0.1092703866
128	0.1090545181
129	0.1090108765
130	0.1087915099
131	0.108467398
132	0.1080055031
133	0.1078569992
134	0.107773359
135	0.1075637053
136	0.107290454
137	0.1070729788
138	0.1069978406
139	0.1067407991
140	0.1065512193
141	0.1063936545
142	0.1061240876
143	0.1060510853
144	0.1058115669
145	0.1053233622
146	0.104995741
147	0.1047751441
148	0.1047075592
149	0.1046625266
150	0.1046017653
151	0.1044677958
152	0.1042183851
153	0.1041529822
154	0.1039217386
155	0.1037123289
156	0.1036631243
157	0.1035608263
158	0.103137403
159	0.1030064353
160	0.1027610327
161	0.102501347
162	0.1024478869
163	0.1022095091
164	0.101952025
165	0.1017846344
166	0.1013890166
167	0.1011614501
168	0.1011081449
169	0.1010461122
170	0.1009995658
171	0.1009776253
172	0.1007066209
173	0.100470482
174	0.1001690436
175	0.09997637104
176	0.09970443088
177	0.09958246509
178	0.09954065944
179	0.09934553755
180	0.0991289939
181	0.09908444909
182	0.09904595775
183	0.09887131487
184	0.0987162563
185	0.09867323519
186	0.09863855626
187	0.09850075977
188	0.09833899664
189	0.09818979192
190	0.09798601805
191	0.09764870228
192	0.09751856701
193	0.09732377173
194	0.09727608905
195	0.09724348083
196	0.09705852132
197	0.096934167
198	0.0967455136
199	0.09670750629
200	0.09667787154
201	0.09646683392
202	0.09643858975
203	0.09630018276
204	0.09620104774
205	0.096176135
206	0.09583423024
207	0.09560136679
208	0.09537493709
209	0.09535327139
